year,n,mean,mean_ci_lo,mean_ci_hi,median,median_ci_lo,median_ci_hi,std,positive_share,min,max
2019,19,0.18127667421978186,0.056034577584858976,0.34533918336186015,0.0506249999999999,-0.0088785046728972,0.2258139534883721,0.32921277033837665,0.6842105263157895,-0.0931818181818181,1.276875
2020,14,0.4485818984589888,0.18717794643535035,0.7155996115295323,0.20336839080459765,-0.0075757575757575,0.8602857142857143,0.5212103804050885,0.7142857142857143,-0.13971119133574,1.3066666666666669
2021,64,0.3214133097300844,0.20403129435537043,0.45893720996368825,0.1939757575757575,0.0990740740740741,0.29091562102200397,0.5134751381354796,0.71875,-0.2724883720930232,2.7039877300613497
2022,38,0.10004670007296292,0.03957845319049725,0.15952425411101803,0.06857719836400815,-0.0042518482802957,0.1530434782608695,0.1950135612182079,0.631578947368421,-0.1998148148148147,0.4917874396135266
2023,59,0.284449823854404,0.20717764528495197,0.37903639540263645,0.2075,0.1148989898989899,0.292175572519084,0.3315840940993278,0.8305084745762712,-0.1,1.6285
2024,90,0.30287917185894314,0.22139984262128332,0.39052170946707204,0.20560526315789476,0.12900679456434844,0.30389322916666656,0.403697354183101,0.7777777777777778,-0.2024630541871921,1.9271523178807948
2025,104,0.09717690186507189,0.061301141003317176,0.13254087633155337,0.0518532749092573,0.0134969325153373,0.0818888888888889,0.19615031330741634,0.6730769230769231,-0.3585185185185185,0.7548571428571429
2026,28,0.01479409097696389,-0.0547584512969095,0.09494498502084145,-0.00671671082327535,-0.08542283527117775,0.0732238939816659,0.20796165750512555,0.4642857142857143,-0.2937499999999999,0.7678260869565215
