variable,min,raw_skew,can_log1p,log_skew,needs_transform,log_helps
issue_price,19.0,1.8986880773320682,True,-0.33455576629799516,True,True
total_issue_size,2500175.0,6.392955290912277,True,1.0448354817628334,True,True
fresh_issue,622222.0,7.192216708228476,True,0.6604257104995136,True,True
ofs,310430.0,6.456975121732446,True,0.3725972479666516,True,True
lot_size,6.0,3.465121148393875,True,0.37373704895412235,True,True
sub_total,0.95,1.9948237622525642,True,-0.06690852569772826,True,True
gmp_value,-92.0,3.625982914690413,False,,True,False
revenue,3.77,20.042239477189185,True,0.29357551372907514,True,True
profit,-1584.4,2.297316352295039,False,,True,False
assets,24.77,10.687021267207525,True,0.5716557485595745,True,True
net_worth,-1865.68,6.9022935055628,False,,True,False
borrowing,0.0,13.408407235460523,True,-0.2129282981274759,True,True
brokers_subscribe,0.0,0.7450888618487335,True,-0.6485321005292674,False,True
brokers_avoid,0.0,2.203865242192528,True,1.4925453434650342,True,True
nifty_close,9955.2001953125,-0.6529483910026265,True,-1.0155028343131436,False,False
vix_close,9.68000030517578,2.413769640294137,True,0.9098895319466732,True,True
nifty_7d_return,-0.0474814490550382,0.26346091304359204,False,,False,False
nifty_30d_return,-0.178169717561985,-0.4865707579051331,False,,False,False
