company,year,file_stem,extraction_status,n_numbered_items,max_item_number,n_sequence_gaps,sequence_gaps
R R Kabel Ltd.,2023,R_R_Kabel_Ltd_,ok,74,78,4,"1,48,50,64"
Fino Payments Bank Ltd.,2021,Fino_Payments_Bank_Ltd_,ok,62,66,4,"1,42,58,59"
Bharti Hexacom Ltd.,2024,Bharti_Hexacom_Ltd_,ok,69,73,4,"5,6,23,24"
Ather Energy Ltd.,2025,Ather_Energy_Ltd_,ok,96,99,3,"79,80,81"
Sambhv Steel Tubes Ltd.,2025,Sambhv_Steel_Tubes_Ltd_,ok,76,79,3,"69,70,73"
Crizac Ltd.,2025,Crizac_Ltd_,ok,74,77,3,"9,10,11"
TBO Tek Ltd.,2024,TBO_Tek_Ltd_,ok,79,82,3,"9,16,20"
KRN Heat Exchanger & Refrigeration Ltd.,2024,KRN_Heat_Exchanger___Refrigeration_Ltd_,ok,89,92,3,"8,19,32"
Vishwaraj Sugar Industries Ltd.,2019,Vishwaraj_Sugar_Industries_Ltd_,ok,67,70,3,"18,19,43"
Pyramid Technoplast Ltd.,2023,Pyramid_Technoplast_Ltd_,ok,70,73,3,"8,18,19"
Plaza Wires Ltd.,2023,Plaza_Wires_Ltd_,ok,70,73,3,"10,12,18"
HP Adhesives Ltd.,2021,HP_Adhesives_Ltd_,ok,76,78,2,"25,26"
Equitas Small Finance Bank Ltd.,2020,Equitas_Small_Finance_Bank_Ltd_,ok,81,83,2,"21,22"
Shree Ram Twistex Ltd.,2026,Shree_Ram_Twistex_Ltd_,ok,76,78,2,"10,11"
Rajputana Stainless Ltd.,2026,Rajputana_Stainless_Ltd_,ok,95,97,2,"21,22"
S.J.S.Enterprises Ltd.,2021,S_J_S_Enterprises_Ltd_,ok,64,66,2,"5,6"
Spandana Sphoorty Financial Ltd.,2019,Spandana_Sphoorty_Financial_Ltd_,ok,36,38,2,"13,37"
Rategain Travel Technologies Ltd.,2021,Rategain_Travel_Technologies_Ltd_,ok,78,80,2,"1,2"
Ami Organics Ltd.,2021,Ami_Organics_Ltd_,ok,80,82,2,"15,61"
Tega Industries Ltd.,2021,Tega_Industries_Ltd_,ok,77,79,2,"5,26"
Hariom Pipe Industries Ltd.,2022,Hariom_Pipe_Industries_Ltd_,ok,70,72,2,"7,33"
Landmark Cars Ltd.,2022,Landmark_Cars_Ltd_,ok,73,75,2,"3,29"
Netweb Technologies India Ltd.,2023,Netweb_Technologies_India_Ltd_,ok,85,87,2,"31,32"
Capital Small Finance Bank Ltd.,2024,Capital_Small_Finance_Bank_Ltd_,ok,85,87,2,"54,55"
IndiaMART InterMESH Ltd.,2019,IndiaMART_InterMESH_Ltd_,ok,60,62,2,"1,7"
R K SWAMY Ltd.,2024,R_K_SWAMY_Ltd_,ok,66,68,2,"18,19"
SRM Contractors Ltd.,2024,SRM_Contractors_Ltd_,ok,78,80,2,"24,25"
Entero Healthcare Solutions Ltd.,2024,Entero_Healthcare_Solutions_Ltd_,ok,63,65,2,"9,44"
Scoda Tubes Ltd.,2025,Scoda_Tubes_Ltd_,ok,91,92,1,50
Kronox Lab Sciences Ltd.,2024,Kronox_Lab_Sciences_Ltd_,ok,60,61,1,12
Blue Jet Healthcare Ltd.,2023,Blue_Jet_Healthcare_Ltd_,ok,65,66,1,16
SBFC Finance Ltd.,2023,SBFC_Finance_Ltd_,ok,77,78,1,31
Godavari Biorefineries Ltd.,2024,Godavari_Biorefineries_Ltd_,ok,76,77,1,35
Precision Pipes & Profiles Co.Ltd.,2019,Precision_Pipes___Profiles_Co_Ltd_,ok_A_strict,26,27,1,24
Global Surfaces Ltd.,2023,Global_Surfaces_Ltd_,ok,80,81,1,11
KFin Technologies Ltd.,2022,KFin_Technologies_Ltd_,ok,75,76,1,18
Bharat Coking Coal Ltd.,2026,Bharat_Coking_Coal_Ltd_,ok,83,84,1,50
Meesho Ltd.,2025,Meesho_Ltd_,ok,73,74,1,1
Sudeep Pharma Ltd.,2025,Sudeep_Pharma_Ltd_,ok,79,80,1,15
Capillary Technologies India Ltd.,2025,Capillary_Technologies_India_Ltd_,ok,96,97,1,47
Data Patterns (India) Ltd.,2021,Data_Patterns__India__Ltd_,ok,65,66,1,55
Glottis Ltd.,2025,Glottis_Ltd_,ok,79,80,1,38
Jaro Institute of Technology Management & Research Ltd.,2025,Jaro_Institute_of_Technology_Management___Research_Ltd_,ok,71,72,1,52
Manoj Vaibhav Gems 'N' Jewellers Ltd.,2023,Manoj_Vaibhav_Gems__N__Jewellers_Ltd_,manual_review_ocr_needed,68,69,1,44
Campus Activewear Ltd.,2022,Campus_Activewear_Ltd_,ok,75,76,1,44
Shreeji Shipping Global Ltd.,2025,Shreeji_Shipping_Global_Ltd_,ok,73,74,1,18
Gem Aromatics Ltd.,2025,Gem_Aromatics_Ltd_,ok,84,85,1,21
Patel Retail Ltd.,2025,Patel_Retail_Ltd_,ok,96,97,1,9
Aditya Infotech Ltd.,2025,Aditya_Infotech_Ltd_,ok,101,102,1,100
Archean Chemical Industries Ltd.,2022,Archean_Chemical_Industries_Ltd_,ok,77,78,1,31
PB Fintech Ltd.,2021,PB_Fintech_Ltd_,ok,69,70,1,3
Go Digit General Insurance Ltd.,2024,Go_Digit_General_Insurance_Ltd_,ok,94,95,1,7
Vikram Solar Ltd.,2025,Vikram_Solar_Ltd_,ok,95,96,1,5
Syrma SGS Technology Ltd.,2022,Syrma_SGS_Technology_Ltd_,ok,0,0,0,
