,chars,chars,chars,chars,words,words,words,words
,count,mean,median,std,count,mean,median,std
extraction_family,,,,,,,,
ocr,1,151383.0,151383.0,,1,23582.0,23582.0,
ok,401,174075.0,182190.0,62967.0,401,27014.8,28279.0,9737.9
ok_patched,14,178612.4,182080.5,117661.3,14,27891.3,28444.5,18620.2
