company,google_sebi_search,sebi_filings_page,pdf_url
RailTel Corp.of India Ltd.,https://www.google.com/search?q=%22RailTel%20Corp.of%20India%20Ltd.%22%20RHP%20site%3Asebi.gov.in,https://www.sebi.gov.in/filings/public-issues.html,
Urban Co.Ltd.,https://www.google.com/search?q=%22Urban%20Co.Ltd.%22%20RHP%20site%3Asebi.gov.in,https://www.sebi.gov.in/filings/public-issues.html,
