year,IPO,Symbol,Listing Date,IPO Size,Sub,GMP,IPO Price,Estimated Price,Listing Price,Listing Day Cls Price,Closing Price (LTP)
2026,Advit Jewels,"RAMBHAJO, 544803",1-Jul-26,₹165.16 Cr,212.63x,₹49.5,₹138.00,₹187.5,₹190.00 (37.68%),₹179.46 (30.04%),₹178.98 (29.7%)
2026,Turtlemint Fintech Solutions,"TURTLEMINT, 544799",29-Jun-26,₹882.67 Cr,1.24x,₹-5,₹152.00,₹147,₹134.90 (-11.25%),₹135.40 (-10.92%),₹136.78 (-10.01%)
2026,Hexagon Nutrition,"HEXAGON, 544785",12-Jun-26,₹138.87 Cr,53.68x,₹2.75,₹45.00,₹47.75,₹48.25 (7.22%),₹53.19 (18.20%),₹71.75 (59.44%)
2026,CMR Green Technologies,"CMRGREEN, 544777",10-Jun-26,₹630.62 Cr,127.07x,₹66.5,₹192.00,₹258.5,₹268 (39.58%),₹247.90 (29.11%),₹223.5 (16.41%)
2026,Bagmane REIT,"BAGMANE, 544758",14-May-26,₹3405.00 Cr,24.96x,₹4,₹100.00,₹104,₹103.50 (3.50%),₹103.66 (3.66%),₹103.47 (3.47%)
2026,OnEMI Technology,"KISSHT, 544754",8-May-26,₹925.92 Cr,9.96x,₹18,₹171.00,₹189,₹190.00 (11.11%),₹208.63 (22.01%),₹320.8 (87.6%)
2026,Citius Transnet InvIT,"CITIUSINVT, 544753",29-Apr-26,₹1105.00 Cr,20.43x,₹3.5,₹100.00,₹103.5,₹104.60 (4.60%),₹106.23 (6.23%),₹107.9 (7.9%)
2026,Propshare Celestia,544752,24-Apr-26,₹244.65 Cr,1.33x,₹0,₹1050000.00,,₹999900.01 (-4.77%),₹1035000.00 (-1.43%),₹1013501.01 (-3.48%)
2026,Om Power Transmission,"OMPOWER, 544750",17-Apr-26,₹150.06 Cr,3.33x,₹2,₹175.00,₹177,₹178.00 (1.71%),₹193.38 (10.50%),₹176.16 (0.66%)
2026,Sai Parenteral's,"SAIPARENT, 544742",2-Apr-26,₹408.79 Cr,1.08x,₹0,₹392.00,₹392,₹400.00 (2.04%),₹406.40 (3.67%),₹588.1 (50.03%)
2026,Amir Chand Jagdish Kumar,"AMIRCHAND, 544743",2-Apr-26,₹440.00 Cr,3.41x,₹3.5,₹212.00,₹215.5,₹200.00 (-5.66%),₹180.00 (-15.09%),₹177.11 (-16.46%)
2026,Powerica,"POWERICA, 544744",2-Apr-26,₹1100.00 Cr,1.53x,₹7,₹395.00,₹402,₹366.00 (-7.34%),₹390.00 (-1.27%),₹567.25 (43.61%)
2026,Central Mine Planning,"CMPDI, 544739",30-Mar-26,₹1841.45 Cr,1.05x,₹5,₹172.00,₹177,₹160.00 (-6.98%),₹154.06 (-10.43%),₹267 (55.23%)
2026,GSP Crop Science,"GSPCROP, 544733",24-Mar-26,₹400.00 Cr,1.64x,₹2,₹320.00,₹322,₹328.00 (2.50%),₹356.25 (11.33%),₹410.75 (28.36%)
2026,Raajmarg Infra Investment Trust,"RIIT, 544734",24-Mar-26,₹6000.00 Cr,13.74x,₹3.5,₹100.00,₹3.5,₹107.00 (7.00%),₹106.83 (6.83%),₹116.62 (16.62%)
2026,Innovision,"INNOVISION, 544732",23-Mar-26,₹319.25 Cr,3.46x,₹-92,₹519.00,₹427,₹467.70 (-9.88%),₹374.20 (-27.90%),₹289.3 (-44.26%)
2026,Rajputana Stainless,"RSL, 544731",19-Mar-26,₹254.98 Cr,1.12x,₹3,₹122.00,₹125,₹122.00 (0.00%),₹113.03 (-7.35%),₹129.15 (5.86%)
2026,SEDEMAC Mechatronics,"SEDEMAC, 544723",11-Mar-26,₹1087.35 Cr,2.68x,₹0,₹1352.00,₹1352,₹1535.00 (13.54%),₹1452.10 (7.40%),₹2745.4 (103.06%)
2026,Omnitech Engineering,"OMNI, 544720",5-Mar-26,₹583.00 Cr,1.2x,₹0,₹227.00,₹227,₹202.00 (-11.01%),₹205.15 (-9.63%),₹523.25 (130.51%)
2026,PNGS Reva Diamond Jewellery,"PNGSREVA, 544718",4-Mar-26,₹379.52 Cr,1.3x,₹-20,₹386.00,₹366,₹375 (-2.85%),₹413.95 (7.24%),₹421.5 (9.2%)
2026,Clean Max Enviro Energy Solutions,"CLEANMAX, 544717",2-Mar-26,₹3079.88 Cr,0.99x,₹-35,₹1053.00,₹1018,₹960.00 (-8.83%),₹867.90 (-17.58%),₹1339.6 (27.22%)
2026,Shree Ram Twistex,"SRTL, 544716",2-Mar-26,₹110.24 Cr,43.66x,₹-28,₹104.00,₹76,₹68.00 (-34.62%),₹73.45 (-29.38%),₹39.53 (-61.99%)
2026,Gaudium IVF,"GAUDIUMIVF, 544709",27-Feb-26,₹165.00 Cr,7.27x,₹0,₹79.00,₹79,₹83.00 (5.06%),₹80.48 (1.87%),₹124.27 (57.3%)
2026,Aye Finance,"AYE, 544699",16-Feb-26,₹1010.00 Cr,1.04x,₹-2,₹129.00,₹127,₹129.00 (0.00%),₹128.91 (-0.07%),₹168.82 (30.87%)
2026,Fractal Analytics,"FRACTAL, 544700",16-Feb-26,₹2833.90 Cr,2.81x,₹-28,₹900.00,₹872,₹876.00 (-2.67%),₹847.40 (-5.84%),₹847.55 (-5.83%)
2026,Shadowfax Technologies,"SHADOWFAX, 544685",28-Jan-26,₹1907.27 Cr,2.86x,₹-3.5,₹124.00,₹120.5,₹112.60 (-9.19%),₹109.98 (-11.31%),₹228.13 (83.98%)
2026,Amagi Media Labs,"AMAGI, 544679",21-Jan-26,₹1788.62 Cr,30.24x,₹-1,₹361.00,₹360,₹318.00 (-11.91%),₹348.25 (-3.53%),₹580.2 (60.72%)
2026,Bharat Coking Coal,"BHARATCOAL, 544678",19-Jan-26,₹1068.78 Cr,143.85x,₹18.5,₹23.00,₹41.5,₹45.00 (95.65%),₹40.66 (76.78%),₹37.56 (63.3%)
