company,year,listing_date,first_day_return,file_stem,chars,words,n_numbered_items,max_item_number,n_sequence_gaps,sequence_gaps,is_ocr,n_criminal_proceedings,n_regulatory_action,n_customer_concentration,n_supplier_concentration,n_promoter_pledge_narrow,n_promoter_pledge_broad,n_going_concern,n_auditor_qualification,n_contingent_liabilities,n_pending_approvals,n_related_party,n_litigation_general,n_rupee_near_litigation,n_rupee_near_contingent,n_rupee_near_related_party,extraction_status,extraction_family
Precision Pipes & Profiles Co.Ltd.,2019,2019-12-02,-0.0756666666666666,Precision_Pipes___Profiles_Co_Ltd_,26143,4159,26,27,1,24,False,0,0,1,0,0,0,0,0,3,0,5,5,0,0,0,ok_A_strict,ok_patched
CSB Bank Ltd.,2019,2019-12-04,0.5389743589743591,CSB_Bank_Ltd_,151597,23808,73,73,0,,False,0,3,0,0,0,7,0,0,4,0,6,3,11,0,0,ok,ok
Ujjivan Small Finance Bank Ltd.,2019,2019-12-12,0.5108108108108108,Ujjivan_Small_Finance_Bank_Ltd_,182232,28381,77,77,0,,False,5,2,0,0,0,1,0,0,2,0,6,8,1,1,0,ok,ok
Manaksia Ltd.,2019,2019-12-26,0.0506249999999999,Manaksia_Ltd_,60274,9495,31,31,0,,False,3,0,0,0,0,0,0,0,5,0,5,4,2,4,0,ok,ok
Prince Pipes & Fittings Ltd.,2019,2019-12-30,-0.0640449438202247,Prince_Pipes___Fittings_Ltd_,121704,19496,53,53,0,,False,4,3,0,0,0,5,0,0,4,0,5,11,7,3,1,ok,ok
SBI Cards & Payment Services Ltd.,2020,2020-03-16,-0.0950993377483443,SBI_Cards___Payment_Services_Ltd_,146919,22788,69,69,0,,False,0,4,0,0,0,3,0,0,0,0,6,3,2,0,0,ok,ok
Rossari Biotech Ltd.,2020,2020-07-23,0.7467058823529412,Rossari_Biotech_Ltd_,140618,21775,72,72,0,,False,0,2,3,0,0,1,0,0,0,1,5,2,0,0,0,ok,ok
Happiest Minds Technologies Ltd.,2020,2020-09-17,1.2349397590361446,Happiest_Minds_Technologies_Ltd_,165156,25506,74,74,0,,False,6,1,1,0,0,5,1,0,0,0,4,6,0,0,0,ok,ok
Route Mobile Ltd.,2020,2020-09-21,0.8602857142857143,Route_Mobile_Ltd_,154299,23903,82,82,0,,False,1,3,0,0,0,1,2,4,6,0,6,4,0,0,3,ok,ok
Computer Age Management Services Ltd.,2020,2020-10-01,0.1395121951219511,Computer_Age_Management_Services_Ltd_,137193,21454,60,60,0,,False,1,14,0,0,0,2,0,0,5,0,5,10,10,1,0,ok,ok
Chemcon Speciality Chemicals Ltd.,2020,2020-10-01,0.7199999999999999,Chemcon_Speciality_Chemicals_Ltd_,129137,20281,60,60,0,,False,2,1,5,2,0,0,0,2,6,0,5,0,0,0,0,ok,ok
Angel Broking Ltd.,2020,2020-10-05,-0.0985294117647058,Angel_Broking_Ltd_,169301,26295,67,67,0,,False,7,11,0,0,0,3,0,0,3,0,5,10,0,0,3,ok,ok
UTI Asset Management Co.Ltd.,2020,2020-10-12,-0.13971119133574,UTI_Asset_Management_Co_Ltd_,96130,15326,52,52,0,,False,3,3,0,0,0,0,0,0,1,0,3,1,0,0,0,ok,ok
Mazagon Dock Shipbuilders Ltd.,2020,2020-10-12,0.193103448275862,Mazagon_Dock_Shipbuilders_Ltd_,131324,20549,67,67,0,,False,2,2,0,0,0,0,0,1,3,0,8,4,0,0,0,ok,ok
Likhitha Infrastructure Ltd.,2020,2020-10-15,0.1383333333333332,Likhitha_Infrastructure_Ltd_,93169,14554,60,60,0,,False,0,1,0,0,0,1,0,0,3,0,2,6,0,0,0,ok,ok
Equitas Small Finance Bank Ltd.,2020,2020-11-02,-0.0075757575757575,Equitas_Small_Finance_Bank_Ltd_,182190,28498,81,83,2,"21,22",False,0,3,0,0,0,1,0,0,7,0,5,9,1,1,0,ok,ok
Gland Pharma Ltd.,2020,2020-11-20,0.2136333333333333,Gland_Pharma_Ltd_,164867,25468,72,72,0,,False,4,5,3,0,0,0,1,0,8,1,2,5,1,3,0,ok,ok
Burger King India Ltd.,2020,2020-12-14,1.3066666666666669,Burger_King_India_Ltd_,179836,28059,70,70,0,,False,0,4,0,0,0,0,0,4,1,0,7,7,0,0,0,ok,ok
Mrs.Bectors Food Specialities Ltd.,2020,2020-12-24,1.0678819444444445,Mrs_Bectors_Food_Specialities_Ltd_,160015,25130,71,71,0,,False,2,4,0,0,0,1,2,0,7,0,7,8,0,0,0,ok,ok
Antony Waste Handling Cell Ltd.,2021,2021-01-01,0.2928571428571428,Antony_Waste_Handling_Cell_Ltd_,98679,15346,60,60,0,,False,1,0,0,0,0,4,0,3,5,0,3,7,0,2,1,ok,ok
Indian Railway Finance Corp.Ltd.,2021,2021-01-29,-0.0442307692307691,Indian_Railway_Finance_Corp_Ltd_,137645,21799,75,75,0,,False,1,4,0,0,0,1,0,6,7,0,4,4,2,1,4,ok,ok
