Company Name,Listed On,Issue Price,Listing Day Close,Listing Day Gain,Current Price,Profit/Loss
Elin Electronics Ltd.,"Fri, Dec 30, 2022",247,227.65,-7.83,100.42,-59.35
KFin Technologies Ltd.,"Thu, Dec 29, 2022",366,363.85,-0.59,866.6,136.94
Abans Holdings Ltd.,"Fri, Dec 23, 2022",270,218.4,-19.11,201,-25.41
Landmark Cars Ltd.,"Fri, Dec 23, 2022",506,458.4,-9.41,433.5,-14.55
Sula Vineyards Ltd.,"Thu, Dec 22, 2022",357,331.15,-7.24,151.11,-57.65
Uniparts India Ltd.,"Mon, Dec 12, 2022",577,539.65,-6.47,651.05,12.89
Dharmaj Crop Guard Ltd.,"Thu, Dec 8, 2022",237,266.3,12.36,259.65,9.45
Keystone Realtors Ltd.,"Thu, Nov 24, 2022",541,556.85,2.93,417.8,-22.81
Inox Green Energy Services Ltd.,"Wed, Nov 23, 2022",65,59.1,-9.08,204.59,214.08
Kaynes Technology India Ltd.,"Tue, Nov 22, 2022",587,689.95,17.54,3312.6,464.29
Archean Chemical Industries Ltd.,"Mon, Nov 21, 2022",407,458.15,12.57,529.5,29.91
Five-Star Business Finance Ltd.,"Mon, Nov 21, 2022",474,490,3.38,548.55,15.59
Global Health Ltd.,"Wed, Nov 16, 2022",336,415.3,23.6,1324.3,294.14
Bikaji Foods International Ltd.,"Wed, Nov 16, 2022",300,317.45,5.82,642.8,114.58
Fusion Micro Finance Ltd.,"Tue, Nov 15, 2022",368,324.8,-11.74,226.02,-38.68
DCX Systems Ltd.,"Fri, Nov 11, 2022",207,308.8,49.18,202.79,-2.03
Tracxn Technologies Ltd.,"Thu, Oct 20, 2022",80,93.25,16.56,30.15,-62.55
Electronics Mart India Ltd.,"Mon, Oct 17, 2022",59,84.5,43.22,133.71,126.69
Harsha Engineers International Ltd.,"Mon, Sep 26, 2022",330,486.5,47.42,434.5,31.65
Tamilnad Mercantile Bank Ltd.,"Thu, Sep 15, 2022",510,509.65,-0.07,768.1,50.65
Dreamfolks Services Ltd.,"Tue, Sep 6, 2022",326,462.4,41.84,69.16,-78.64
Syrma SGS Technology Ltd.,"Fri, Aug 26, 2022",220,310.5,41.14,1356,516.32
Aether Industries Ltd.,"Fri, Jun 3, 2022",642,774.4,20.62,1330,106.78
eMudhra Ltd.,"Wed, Jun 1, 2022",256,257.9,0.74,440.05,71.78
Ethos Ltd.,"Mon, May 30, 2022",878,803.1,-8.53,2502,185.1
Paradeep Phosphates Ltd.,"Fri, May 27, 2022",42,43.9,4.52,139.2,231.55
Delhivery Ltd.,"Tue, May 24, 2022",487,536.35,10.13,517.9,6.33
Venus Pipes & Tubes Ltd.,"Tue, May 24, 2022",326,354.35,8.7,1845.4,465.94
Prudent Corporate Advisory Services Ltd.,"Fri, May 20, 2022",630,561.75,-10.83,3006,377.56
Life Insurance Corp.of India,"Tue, May 17, 2022",949,875.25,-7.77,435.4,-54.11
Rainbow Children's Medicare Ltd.,"Tue, May 10, 2022",542,450.2,-16.94,1422,163.39
Campus Activewear Ltd.,"Mon, May 9, 2022",292,378.9,29.76,231.4,-20.82
Hariom Pipe Industries Ltd.,"Wed, Apr 13, 2022",153,231,50.98,384.95,152.16
Veranda Learning Solutions Ltd.,"Mon, Apr 11, 2022",137,131.25,-4.2,255.68,86.39
Ruchi Soya Industries Ltd.,"Fri, Apr 8, 2022",650,923.45,42.07,414.5,-36.22
Uma Exports Ltd.,"Thu, Apr 7, 2022",68,79.8,17.35,21.72,-67.68
Vedant Fashions Ltd.,"Wed, Feb 16, 2022",866,933.55,7.8,395.05,-54.33
Adani Wilmar Ltd.,"Tue, Feb 8, 2022",230,268.25,16.63,185.37,-19.28
AGS Transact Technologies Ltd.,"Mon, Jan 31, 2022",175,161.05,-7.97,3.92,-98.6
