Company Name,Listed On,Issue Price,Listing Day Close,Listing Day Gain,Current Price,Profit/Loss
Mrs.Bectors Food Specialities Ltd.,"Thu, Dec 24, 2020",288,594.2,106.32,177.26,207.9
Burger King India Ltd.,"Mon, Dec 14, 2020",60,135,125,74.58,24.53
Gland Pharma Ltd.,"Fri, Nov 20, 2020",1500,1819.55,21.3,2463.2,64.16
Equitas Small Finance Bank Ltd.,"Mon, Nov 2, 2020",33,32.8,-0.61,77.54,134.97
Likhitha Infrastructure Ltd.,"Thu, Oct 15, 2020",120,136.5,13.75,252.65,321.08
UTI Asset Management Co.Ltd.,"Mon, Oct 12, 2020",554,476.2,-14.04,991.5,78.9
Mazagon Dock Shipbuilders Ltd.,"Mon, Oct 12, 2020",145,171.95,18.59,2573.9,3448.97
Angel Broking Ltd.,"Mon, Oct 5, 2020",306,275.8,-9.87,345.95,1031.05
Computer Age Management Services Ltd.,"Thu, Oct 1, 2020",1230,1401.6,13.95,788.8,220.45
Chemcon Speciality Chemicals Ltd.,"Thu, Oct 1, 2020",340,584.8,72,183.66,-45.22
Route Mobile Ltd.,"Mon, Sep 21, 2020",350,651.3,86.09,549.45,56.7
Happiest Minds Technologies Ltd.,"Thu, Sep 17, 2020",166,370.95,123.46,347.35,109.25
Mindspace Business Parks,"Fri, Aug 7, 2020",275,303.7,10.44,487.7,77.35
Yes Bank Ltd.,"Mon, Jul 27, 2020",12,12.3,2.5,24.26,102.17
Rossari Biotech Ltd.,"Thu, Jul 23, 2020",425,741.65,74.51,531.05,24.95
SBI Cards & Payment Services Ltd.,"Mon, Mar 16, 2020",755,681.4,-9.75,603.5,-20.11
