Company Name,Listed On,Issue Price,Listing Day Close,Listing Day Gain,Current Price,Profit/Loss
Chemplast Sanmar Ltd.,"Tue, Aug 24, 2021",541,535.6,-1,207.29,-61.7
Nuvoco Vistas Corp.Ltd.,"Mon, Aug 23, 2021",570,531.7,-6.72,318.05,-44.3
CarTrade Tech Ltd.,"Fri, Aug 20, 2021",1618,1501.05,-7.23,2791.4,72.43
Krsnaa Diagnostics Ltd.,"Mon, Aug 16, 2021",954,987,3.46,550.85,-42.22
Devyani International Ltd.,"Mon, Aug 16, 2021",90,123.5,37.22,114.13,26.94
Exxaro Tiles Ltd.,"Mon, Aug 16, 2021",120,132.3,10.25,6.64,-44.83
Windlas Biotech Ltd.,"Mon, Aug 16, 2021",460,407.15,-11.49,858.3,86.73
Rolex Rings Ltd.,"Mon, Aug 9, 2021",900,1167,29.67,139.57,54.89
Glenmark Life Sciences Ltd.,"Fri, Aug 6, 2021",720,748.5,3.96,1150.5,59.7
Tatva Chintan Pharma Chem Ltd.,"Thu, Jul 29, 2021",1083,2312.2,113.5,1255.4,15.89
Zomato Ltd.,"Fri, Jul 23, 2021",76,125.85,65.59,283.4,272.96
G R Infraprojects Ltd.,"Mon, Jul 19, 2021",837,1747.1,108.73,904.15,8.11
Clean Science & Technology Ltd.,"Mon, Jul 19, 2021",900,1585.25,76.14,792.7,-11.9
India Pesticides Ltd.,"Mon, Jul 5, 2021",296,343.15,15.93,161.71,-45.29
Dodla Dairy Ltd.,"Mon, Jun 28, 2021",428,609.9,42.5,1154.7,169.89
Krishna Institute of Medical Sciences Ltd.,"Mon, Jun 28, 2021",825,996.95,20.84,824.25,399.15
Shyam Metalics & Energy Ltd.,"Thu, Jun 24, 2021",306,376.15,22.92,958.5,212.65
Sona BLW Precision Forgings Ltd.,"Thu, Jun 24, 2021",291,361.2,24.12,667.5,129.4
POWERGRID Infrastructure Investment Trust,"Fri, May 14, 2021",100,102.99,2.99,94.92,-5.08
Macrotech Developers Ltd.,"Mon, Apr 19, 2021",486,465.25,-4.27,1095.9,125.47
Barbeque-Nation Hospitality Ltd.,"Wed, Apr 7, 2021",500,587.8,17.56,224.87,42.03
Nazara Technologies Ltd.,"Tue, Mar 30, 2021",1101,1592,44.6,298.65,-45.69
Kalyan Jewellers India Ltd.,"Fri, Mar 26, 2021",87,75.2,-13.56,381.25,338.16
Suryoday Small Finance Bank Ltd.,"Fri, Mar 26, 2021",305,277.8,-8.92,181.64,-40.49
Craftsman Automation Ltd.,"Thu, Mar 25, 2021",1490,1435.6,-3.65,9097,509.9
Laxmi Organic Industries Ltd.,"Thu, Mar 25, 2021",130,164.45,26.5,157.79,21.46
Anupam Rasayan India Ltd.,"Wed, Mar 24, 2021",555,526.8,-5.08,1269.2,128.42
Easy Trip Planners Ltd.,"Fri, Mar 19, 2021",187,208.45,11.47,7.03,-92.47
MTAR Technologies Ltd.,"Mon, Mar 15, 2021",575,1082.5,88.26,7047,1125.1
Heranba Industries Ltd.,"Fri, Mar 5, 2021",627,627,0,188.3,-70.18
RailTel Corp.of India Ltd.,"Fri, Feb 26, 2021",94,121.35,29.1,309.55,229.2
Nureca Ltd.,"Thu, Feb 25, 2021",400,645.75,61.44,229.04,-42.9
Brookfield India Real Estate Trust,"Tue, Feb 16, 2021",275,268.93,-2.21,339.82,23.57
Stove Kraft Ltd.,"Fri, Feb 5, 2021",385,445.95,15.83,778.7,101.64
Home First Finance Co.India Ltd.,"Wed, Feb 3, 2021",518,527.55,1.84,1191.1,129.93
Indigo Paints Ltd.,"Tue, Feb 2, 2021",1490,3117.15,109.2,1078.8,-27.56
Indian Railway Finance Corp.Ltd.,"Fri, Jan 29, 2021",26,24.8,-4.62,90.24,247
Antony Waste Handling Cell Ltd.,"Fri, Jan 1, 2021",315,407.35,29.32,459.65,45.78
