Company Name,Listed On,Issue Price,Listing Day Close,Listing Day Gain,Current Price,Profit/Loss
CMS Info Systems Ltd.,"Fri, Dec 31, 2021",216,238.2,10.28,269.75,24.7
Supriya Lifescience Ltd.,"Tue, Dec 28, 2021",274,390.85,42.65,865.2,215.97
HP Adhesives Ltd.,"Mon, Dec 27, 2021",274,330.75,20.71,35.05,-35.82
Data Patterns (India) Ltd.,"Fri, Dec 24, 2021",585,755,29.06,4615.5,689.95
Medplus Health Services Ltd.,"Thu, Dec 23, 2021",796,1121.15,40.85,822.15,3.1
Metro Brands Ltd.,"Wed, Dec 22, 2021",500,493.35,-1.33,1039.8,107.91
C.E.Info systems Ltd.,"Tue, Dec 21, 2021",1033,1393.65,34.91,947.05,-8.34
Shriram Properties Ltd.,"Mon, Dec 20, 2021",118,99.6,-15.59,91.32,-22.64
Rategain Travel Technologies Ltd.,"Fri, Dec 17, 2021",425,340.05,-19.99,944.05,122.26
Anand Rathi Wealth Ltd.,"Tue, Dec 14, 2021",550,583.55,6.1,2095.5,281.02
Tega Industries Ltd.,"Mon, Dec 13, 2021",453,726.05,60.28,1665,267.26
Star Health & Allied Insurance Co.Ltd.,"Fri, Dec 10, 2021",900,906.85,0.76,581.35,-35.48
Go Fashion (India) Ltd.,"Tue, Nov 30, 2021",690,1253.7,81.7,353.5,-48.72
Tarsons Products Ltd.,"Fri, Nov 26, 2021",662,818.4,23.63,293.15,-55.73
Latent View Analytics Ltd.,"Tue, Nov 23, 2021",197,488.75,148.1,285.9,44.82
One 97 Communications Ltd.,"Thu, Nov 18, 2021",2150,1560.8,-27.4,1218.2,-43.34
Sapphire Foods India Ltd.,"Thu, Nov 18, 2021",1180,1211.55,2.67,184.5,-22.01
S.J.S.Enterprises Ltd.,"Mon, Nov 15, 2021",542,510.2,-5.87,2197.9,305.77
Sigachi Industries Ltd.,"Mon, Nov 15, 2021",163,598.5,267.18,22.25,35.58
PB Fintech Ltd.,"Mon, Nov 15, 2021",980,1202.3,22.68,1580.7,61.34
Fino Payments Bank Ltd.,"Fri, Nov 12, 2021",577,543.9,-5.74,135.3,-76.5
FSN E-Commerce Ventures Ltd.,"Wed, Nov 10, 2021",1125,2205.8,96.07,313.5,-72.1
Aditya Birla Sun Life AMC Ltd.,"Mon, Oct 11, 2021",712,699.45,-1.76,1160.7,62.9
Paras Defence & Space Technologies Ltd.,"Fri, Oct 1, 2021",175,492.45,181.4,1358.4,1453.03
Sansera Engineering Ltd.,"Fri, Sep 24, 2021",744,818.55,10.02,3190.6,328.45
Ami Organics Ltd.,"Tue, Sep 14, 2021",610,935,53.28,3514.8,476.11
Vijaya Diagnostic Centre Ltd.,"Tue, Sep 14, 2021",531,620.1,16.78,1347.4,154.01
Aptus Value Housing Finance India Ltd.,"Tue, Aug 24, 2021",353,346.9,-1.73,285.5,-19.19
